(990.0, 460.0)
(1000.0, 290.0)
(990.0, 490.0)
(1000.0, 460.0)
(1020.0, 370.0)
(1030.0, 130.0)
(1030.0, 260.0)
(1030.0, 540.0)
(1030.0, 280.0)
(1040.0, 440.0)
(1050.0, 250.0)
(1050.0, 260.0)
(1050.0, 480.0)
(1050.0, 500.0)
(1050.0, 520.0)
(1040.0, 420.0)
(1060.0, 320.0)
(1060.0, 250.0)
(1060.0, 370.0)
(1060.0, 510.0)
(1060.0, 530.0)
(1060.0, 470.0)
(1060.0, 560.0)
(1070.0, 260.0)
(1070.0, 280.0)
(1060.0, 630.0)
(1070.0, 420.0)
(1070.0, 520.0)
(1070.0, 600.0)
(1070.0, 650.0)
(1070.0, 620.0)
(1080.0, 350.0)
(1080.0, 400.0)
(1080.0, 420.0)
(1080.0, 500.0)
(1080.0, 530.0)
(1090.0, 290.0)
(1080.0, 630.0)
(1090.0, 400.0)
(1100.0, 300.0)
(1100.0, 260.0)
(1100.0, 460.0)
(1100.0, 390.0)
(1100.0, 480.0)
(1110.0, 130.0)
(1110.0, 430.0)
(1110.0, 440.0)
(1130.0, 220.0)
(1130.0, 230.0)
(1140.0, 290.0)
(1100.0, 600.0)
(1150.0, 190.0)
(1150.0, 200.0)
(1160.0, 350.0)
(1150.0, 300.0)
(1170.0, 200.0)
(1170.0, 270.0)
(1170.0, 430.0)
(1160.0, 440.0)
(1190.0, 210.0)
(1190.0, 220.0)
(1180.0, 220.0)
(1190.0, 240.0)
(1190.0, 290.0)
(1200.0, 190.0)
(1200.0, 230.0)
(1200.0, 290.0)
(1200.0, 250.0)
(1050.0, 400.0)
(1130.0, 380.0)
(1140.0, 190.0)
(1050.0, 390.0)
(1090.0, 500.0)
(1120.0, 450.0)
(1090.0, 680.0)
(1120.0, 380.0)
