(900.0, 400.0)
(900.0, 390.0)
(900.0, 450.0)
(900.0, 530.0)
(910.0, 290.0)
(910.0, 410.0)
(910.0, 340.0)
(910.0, 450.0)
(910.0, 470.0)
(910.0, 510.0)
(920.0, 110.0)
(920.0, 180.0)
(930.0, 170.0)
(920.0, 320.0)
(930.0, 390.0)
(940.0, 160.0)
(940.0, 280.0)
(940.0, 370.0)
(940.0, 380.0)
(940.0, 410.0)
(940.0, 440.0)
(950.0, 110.0)
(950.0, 350.0)
(950.0, 460.0)
(960.0, 310.0)
(960.0, 290.0)
(970.0, 160.0)
(970.0, 260.0)
(980.0, 190.0)
(980.0, 250.0)
(980.0, 260.0)
(980.0, 330.0)
(980.0, 420.0)
(980.0, 460.0)
(980.0, 520.0)
(980.0, 440.0)
(990.0, 150.0)
(990.0, 270.0)
(980.0, 560.0)
(990.0, 400.0)
(1000.0, 180.0)
(1000.0, 310.0)
(1000.0, 400.0)
(1000.0, 450.0)
(1010.0, 230.0)
(1010.0, 280.0)
(1010.0, 250.0)
(1010.0, 360.0)
(1010.0, 400.0)
(1010.0, 370.0)
(1010.0, 530.0)
(1010.0, 540.0)
(1020.0, 230.0)
(1020.0, 240.0)
(1060.0, 600.0)
(1090.0, 630.0)
(1100.0, 310.0)
(1120.0, 270.0)
