Type,Name of facility,Address,City,State,Zip,Climate Gross Sqft,Climate Net SqftNon-Climate Gross Sqft,Non-Climate Net Sqft,Gross Sqft,Net Sqft,5x5 Climate,5x5 Non-Climate,5x10 Climate,5x10 Non-Climate,10x10 Climate,10x10 Non-Climate,10x15 Climate,10x15 Non-Climate,10x20 Climate,10x20 Non-Climate
Current,StorAmerica Self Storage,"12024 Center St
",South Gate,CA,90280,-,-,"83,200","75,712","83,200","75,712",-,$74,-,$111,-,$151,-,$194,,
Current,StorAmerica Self Storage,"2671 Fletcher Dr
",Los Angeles,CA,90039,-,-,"83,200","75,712","83,200","75,712",-,$74,-,$111,-,$151,-,$194,,
Current,U-Haul Moving & Storage at Fletcher Dr,"2671 Fletcher Dr
",Los Angeles,CA,90039,-,-,"136,544","124,255","136,544","124,255",-,-,-,-,-,-,-,-,,
Current,U-Haul Moving & Storage at Fletcher Dr,"2671 Fletcher Dr
",Los Angeles,CA,90028,,,,,,,-,$135,-,$166,-,$281,-,$339,,
Current,SoCal Self Storage,"5900B Hollywood Blvd
",Los Angeles,CA,90028,,,,,,,-,$135,-,$166,-,$281,-,$339,,
Current,SoCal Self Storage,"5900B Hollywood Blvd
",Los Angeles,CA,90032,,,,,,,,,-,$166,-,$281,-,-,,
Current,Public Storage,"4889 Alhambra Ave
",Los Angeles,CA,90032,,,,,"78,654","71,575",$110,$110,-,$140,-,,,,,
Current,Public Storage,"4889 Alhambra Ave
",Los Angeles,CA,90032,-,-,"63,109","57,429","63,109","57,429",,,,,,,,,,
Current,Public Storage,"4889 Alhambra Ave
",Los Angeles,CA,90057,-,-,"63,109","57,429","63,109","57,429",,,,,,,,,,
Current,Public Storage,"2500 W 6th St
",Los Angeles,CA,90057,-,"37,342",-,-,"51,864","37,342",,,,,,,,,,
Current,Public Storage,"2500 W 6th St
",Los Angeles,CA,90057,"51,864","37,342",-,-,"51,864","37,342",,,,,,,,,,
Current,Public Storage,"2500 W 6th St
",Los Angeles,CA,90013,"51,864","37,342",-,-,"51,864","37,342",,,,,,,,,,
Current,Public Storage,"300 Avery St
",Los Angeles,CA,90013,"51,864","37,342",-,-,"51,864","37,342",,,,,,,,,,
Current,Public Storage,"300 Avery St
",Los Angeles,CA,90013,"91,485","65,869",-,-,"91,485","65,869",$96,$87,$123,$122,$179,$188,$245,$251,,
Current,Public Storage,"300 Avery St
",Los Angeles,CA,90013,,"59,260",-,-,"82,305","59,260",-,$90,-,$135,-,$206,-,$267,,
Current,Public Storage,"300 Avery St
",Los Angeles,CA,90013,"82,305","59,260",-,-,"82,305","59,260",,$89,-,$122,-,$172,-,$246,,
Current,StorQuest Self Storage,"2222 N Figueroa St
",Los Angeles,CA,90065,-,-,"73,011","66,440","73,011","66,440",-,$89,-,$122,-,$172,-,$246,,
Current,StorQuest Self Storage,"2222 N Figueroa St
",Los Angeles,CA,90065,-,-,"56,578","51,486","56,578","51,486",,,,,,,,,,
Current,Life Storage,"801 E Commercial St
",Los Angeles,CA,90012,-,-,"56,578","51,486","56,578","51,486",,,,,,,,,,
Current,Life Storage,"801 E Commercial St
",Los Angeles,CA,90012,,"98,563","2,788","2,537","139,681","101,100",,,,,,,,,,
Current,Life Storage,"801 E Commercial St
",Los Angeles,CA,90012,,,,,,,,,,,,,,,,
Current,Extra Space Storage,"2000 W Mission Rd
",Alhambra,CA,91803,,,,,,,,,,,,,,,,
Current,Extra Space Storage,"2000 W Mission Rd
",Alhambra,CA,91803,"21,510","15,487",-,-,"21,510","15,487",,,,,,,,,,
Current,Saf Keep Storage,"4996 Melrose Ave
",Los Angeles,CA,90029,"21,510","15,487",-,-,"21,510","15,487",,,,,,,,,,
Current,Saf Keep Storage,"4996 Melrose Ave
",Los Angeles,CA,90029,,,,,,,-,$104,-,$138,-,$222,-,$299,,
Current,Saf Keep Storage,"4996 Melrose Ave
",Los Angeles,CA,90029,-,-,"56,578","51,486","56,578","51,486",,,,,,,,,,
Current,Public Storage,"3810 N Eagle Rock Blvd
",Los Angeles,CA,90065,-,-,"56,578","51,486","56,578","51,486",,,,,,,,,,
Current,Public Storage,"3810 N Eagle Rock Blvd
",Los Angeles,CA,90065,-,-,,,,,,,,,,,,,,
Current,Public Storage,"3810 N Eagle Rock Blvd
",Los Angeles,CA,90065,,,,,,,,,,,,,,,,
Current,LA Security Storage,"6372 Santa Monica Blvd
",Los Angeles,CA,90038,,,,,,,,,,,,,,$292,,
Current,LA Security Storage,"6372 Santa Monica Blvd
",Los Angeles,CA,90038,,,,,,,-,$90,,,,,,,,
Current,LA Security Storage,"6372 Santa Monica Blvd
",Los Angeles,CA,90038,"58,960","42,452","77,159","70,214","136,119","112,666",,,,,,,,,,
Current,U-Lock Storage,"761 Normandie Ave
",Los Angeles,CA,90005,"58,960","42,452","77,159","70,214","136,119","112,666",,,,,,,,,,
Current,U-Lock Storage,"761 Normandie Ave
",Los Angeles,CA,90005,"58,960","42,452",,,,,-,$92,-,$126,-,$174,-,$243,,
Current,Keep It Self Storage,"4444 Vineland Ave
",Los Angeles,CA,91602,,,,,,,-,$92,-,$126,-,$174,-,$243,,
Current,Keep It Self Storage,"4444 Vineland Ave
",Los Angeles,CA,91602,-,-,"72,699","66,156","72,699","66,156",-,$105,-,$151,-,$209,-,$298,,
Current,Extra Space Storage,"1701 W Slauson Ave
",Los Angeles,CA,90047,-,-,"72,699","66,156","72,699","66,156",-,$105,-,$151,-,$209,-,$298,,
Current,US Storage Centers,"2500 W Hellman Ave
",Alhambra,CA,91803,-,-,,,,,,,-,$142,-,$227,-,-,,
Current,US Storage Centers,"2500 W Hellman Ave
",Alhambra,CA,91803,"23,889","17,200",-,-,"23,889","17,200",-,$72,-,$142,-,$227,-,-,,
Current,US Storage Centers,"2500 W Hellman Ave
",South Gate,CA,90280,"23,889","17,200",-,-,"23,889","17,200",-,$72,-,$142,-,$227,-,-,,
Current,Public Storage,"5001-5005 Firestone Pl
",South Gate,CA,90280,,,,,,,,,,,,,,,,
Current,Public Storage,"5001-5005 Firestone Pl
",South Gate,CA,90280,-,-,"31,060","28,264","31,060","28,264",,,,,,,,,,
Current,Public Storage,"5001-5005 Firestone Pl
",South Gate,CA,90280,-,-,,,,,-,$68,-,$97,-,$153,-,$223,,
